bathrooms,bedrooms,num_beds,can_instant_book,is_fully_refundable,is_superhost,is_new_listing,room_type_category,person_capacity,lat,lng,price,url,listing_key,price_in_usd
1.0,1.0,1,True,True,True,False,private_room,2,21.16741,-86.8286,22,https://www.airbnb.com/rooms/22902859,22902859,16.541353383458645
1.5,1.0,2,True,True,False,False,private_room,4,21.141693,-86.827934,22,https://www.airbnb.com/rooms/13927495,13927495,16.541353383458645
1.0,2.0,3,True,True,False,True,entire_home,5,21.14568,-86.89059,22,https://www.airbnb.com/rooms/35972942,35972942,16.541353383458645
1.0,1.0,2,True,True,False,False,entire_home,4,21.18384,-86.81548000000002,22,https://www.airbnb.com/rooms/29493671,29493671,16.541353383458645
1.5,1.0,1,True,True,False,False,private_room,2,21.12515,-86.8343,21,https://www.airbnb.com/rooms/18008057,18008057,15.789473684210526
1.0,2.0,2,True,True,False,False,entire_home,5,21.146654,-86.86488299999998,24,https://www.airbnb.com/rooms/32237349,32237349,18.045112781954888
1.0,1.0,2,True,True,True,False,shared_room,2,21.109201,-86.88054699999998,24,https://www.airbnb.com/rooms/28940815,28940815,18.045112781954888
1.0,1.0,1,True,True,False,False,entire_home,2,21.16267,-86.82785,25,https://www.airbnb.com/rooms/35565048,35565048,18.796992481203006
2.0,2.0,3,True,True,False,False,entire_home,6,21.184856,-86.81504100000002,32,https://www.airbnb.com/rooms/24760674,24760674,24.06015037593985
1.0,1.0,1,True,True,False,False,private_room,2,21.14747,-86.84725999999998,24,https://www.airbnb.com/rooms/23328219,23328219,18.045112781954888
1.5,1.0,2,True,True,False,False,private_room,3,21.19235,-86.80682,29,https://www.airbnb.com/rooms/33364482,33364482,21.804511278195488
1.0,1.0,2,True,True,False,False,private_room,4,21.141674,-86.827988,29,https://www.airbnb.com/rooms/9014388,9014388,21.804511278195488
1.0,1.0,1,True,True,False,True,entire_home,2,21.14937,-86.83901999999998,24,https://www.airbnb.com/rooms/35421750,35421750,18.045112781954888
1.0,1.0,2,True,True,True,False,entire_home,4,21.141820000000006,-86.83131,28,https://www.airbnb.com/rooms/22002557,22002557,21.052631578947366
1.0,1.0,1,True,True,True,False,entire_home,2,21.15377,-86.85194,30,https://www.airbnb.com/rooms/23044534,23044534,22.55639097744361
1.0,1.0,1,False,True,True,False,entire_home,2,21.13758,-86.8499,26,https://www.airbnb.com/rooms/18426024,18426024,19.548872180451127
1.0,1.0,1,True,True,False,False,entire_home,2,21.166801,-86.83419,25,https://www.airbnb.com/rooms/18124741,18124741,18.796992481203006
1.5,1.0,1,True,True,False,False,private_room,2,21.131672,-86.868561,26,https://www.airbnb.com/rooms/30075094,30075094,19.548872180451127
2.0,3.0,4,True,True,True,False,entire_home,8,21.14812,-86.84919000000002,30,https://www.airbnb.com/rooms/13771020,13771020,22.55639097744361
1.0,1.0,1,True,True,False,False,private_room,2,21.16352,-86.82764,24,https://www.airbnb.com/rooms/34063784,34063784,18.045112781954888
