bathrooms,bedrooms,num_beds,can_instant_book,price,listing_id
1,1,2,TRUE,40,23898799
1,2,2,TRUE,34,32072375
1,1,2,TRUE,40,34290125
1.5,1,1,TRUE,40,26814452
2,2,2,TRUE,32,24761400
6,1,2,TRUE,34,18091822
1,1,1,FALSE,38,30233467
1,2,3,FALSE,32,20475929
1,0,1,TRUE,33,12514901
1,1,1,TRUE,34,34370547
1,2,2,TRUE,33,18138258
1,1,1,TRUE,41,23744380
1.5,2,3,TRUE,41,32903385
1,1,1,TRUE,33,30710102
2.5,2,3,TRUE,38,24305689
2,2,5,TRUE,40,14587936
1,2,3,FALSE,38,20149890
1,1,2,FALSE,34,19640983
1,1,2,TRUE,40,8866258
2,2,2,TRUE,41,22771238
1,1,1,TRUE,34,32112406
1,1,2,TRUE,33,21824118
1,1,1,TRUE,34,33655772
1,1,2,TRUE,33,29733385
2,1,1,TRUE,34,29854129
1,1,1,TRUE,33,30580727
1,1,2,TRUE,36,25739907
1,1,2,TRUE,40,19592231
1,1,1,TRUE,34,29903798
1,0,1,FALSE,34,20172756
1,1,1,TRUE,40,26900022
1,1,1,FALSE,34,34509439
1,1,1,TRUE,37,32791605
1,1,1,TRUE,34,22730300
2,1,3,TRUE,41,764042
1,1,1,TRUE,41,27466201
1,1,2,TRUE,33,84781
1,2,2,TRUE,33,30766958
1,1,2,TRUE,38,25675568
1.5,2,4,FALSE,34,23979020
1,1,1,TRUE,37,33048329
1,1,2,TRUE,33,29851274
1,1,1,TRUE,37,32991496
1,1,1,TRUE,37,31857071
2,1,2,TRUE,40,28610986
1,1,1,TRUE,40,32899363
1,1,1,TRUE,40,28162174
1,1,3,TRUE,41,19526863
1,2,4,TRUE,40,16131060
1,1,1,TRUE,34,23147475
1,1,1,FALSE,40,25490698
1,1,2,TRUE,33,29705378
1,1,1,TRUE,33,19720942
1,1,1,FALSE,38,18348862
1,1,1,TRUE,40,29819494
1,2,4,TRUE,41,19673885
1,1,1,TRUE,41,27544914
1,1,2,TRUE,38,8797491
1,1,1,TRUE,34,33074866
1,1,1,FALSE,38,22341017
1,1,1,TRUE,40,23961655
2,2,4,FALSE,40,17955710
1,2,2,TRUE,38,22259664
1.5,1,1,FALSE,37,2298151
1,1,2,TRUE,34,29799139
2,2,2,TRUE,41,17109895
1,2,2,TRUE,33,19054180
1,1,2,TRUE,33,29734149
1,1,2,TRUE,38,29505774
2,2,2,TRUE,34,21439554
1,0,2,TRUE,40,15407604
1,1,1,TRUE,33,34020064
1,1,2,TRUE,36,24996036
1,1,2,TRUE,34,19270124
2,2,4,FALSE,34,21879093
1.5,1,2,FALSE,36,9885284
1,1,1,TRUE,33,23724091
1,1,1,FALSE,38,5434481
1,1,1,TRUE,33,30777419
1,1,3,FALSE,40,17702208
1,2,2,FALSE,36,29367518
1,1,1,TRUE,36,30952852
1,1,1,FALSE,34,19662761
1.5,1,1,TRUE,41,5970141
1,1,1,TRUE,34,14499593
1,2,3,TRUE,41,20501179
1,1,1,FALSE,34,31100811
1,1,1,TRUE,38,17328634
1,1,1,TRUE,38,19977983
1,1,1,TRUE,33,6142900
1.5,1,2,TRUE,36,8116679
1.5,1,1,TRUE,38,14800145
1,1,1,TRUE,41,20697707
1,1,1,TRUE,34,1654703
1,2,2,TRUE,45,5050386
1,1,1,TRUE,47,23045672
1,1,1,FALSE,42,20459809
1,1,1,TRUE,47,29657681
1,1,1,TRUE,43,32863462
1,0,1,TRUE,47,7872273
1,1,1,TRUE,51,15858935
1,2,4,TRUE,47,6384437
1,1,1,TRUE,50,20674077
1,1,1,FALSE,46,4627748
1,1,1,TRUE,46,31670994
1,1,1,FALSE,51,16332079
1,1,1,TRUE,45,20188636
1,1,1,TRUE,45,15956004
1,2,2,TRUE,43,31930881
1,1,2,TRUE,47,23502722
1,3,5,TRUE,43,6795641
1,1,1,TRUE,46,21206191
1,1,1,TRUE,46,19743415
1,1,2,FALSE,42,12850742
1,1,2,TRUE,47,18868526
1,1,2,TRUE,46,2105327
1,1,2,TRUE,51,16757756
1,1,1,TRUE,49,18097144
1,1,1,TRUE,46,20523561
1,1,1,TRUE,51,17118201
1,1,1,TRUE,46,31670622
1,1,3,TRUE,51,22595594
1,1,2,TRUE,47,22001028
1,1,3,TRUE,47,3828691
1,1,2,TRUE,47,20587487
1,1,1,TRUE,47,35219786
1,2,3,TRUE,46,16393025
2,2,3,TRUE,51,32190200
1,1,1,TRUE,45,24523259
1,1,1,TRUE,51,17827705
2,2,2,TRUE,47,22573241
1,2,2,TRUE,47,7661847
2,2,3,TRUE,51,20585730
1.5,1,1,TRUE,47,29709653
1,1,2,TRUE,50,16133506
1,5,1,TRUE,42,25127858
1,1,1,TRUE,46,32528473
1,1,0,TRUE,42,32864811
1,1,2,TRUE,47,21976907
1,1,1,TRUE,47,23233764
1,1,1,TRUE,43,27661520
1,1,2,FALSE,42,31994685
1,1,1,TRUE,45,26058250
1,0,2,TRUE,47,15630800
1,1,1,TRUE,43,16190705
1,1,2,TRUE,45,25845360
1,1,1,TRUE,43,31668021
1,1,2,TRUE,42,19162031
1,2,3,TRUE,46,19829346
1,2,2,TRUE,47,32593891
1,1,1,TRUE,47,29657546
2,2,2,TRUE,51,31994346
1,1,1,FALSE,43,31147864
1,2,4,TRUE,49,21698792
2.5,2,3,TRUE,51,15883030
2,3,4,FALSE,46,1428081
1,1,2,FALSE,43,31156859
1,1,2,TRUE,45,23860511
1,1,1,TRUE,42,35491726
2,2,3,TRUE,51,23998348
1,1,1,TRUE,45,31669845
1,1,1,TRUE,47,29365136
2,2,3,TRUE,51,31875212
2,2,3,TRUE,51,19469170
2,2,3,TRUE,50,33966821
1,1,2,TRUE,50,21470348
1,1,1,TRUE,45,34017042
1,0,1,TRUE,47,20942694
2,2,4,TRUE,46,28845451
1,1,1,TRUE,51,8350310
1,2,3,TRUE,50,26192179
1,1,1,TRUE,51,25138301
1,1,1,TRUE,46,26990246
2,3,4,TRUE,43,27334902
1,1,2,FALSE,43,31129493
2,3,4,TRUE,49,28838002
2,2,2,TRUE,45,32696272
1,1,1,TRUE,43,32528255
1,2,4,TRUE,45,26772315
1,2,3,TRUE,46,22658097
1,1,1,FALSE,47,28635918
1,1,1,TRUE,47,8351338
1,1,1,TRUE,47,25255955
1,1,2,TRUE,43,23855769
1,1,1,FALSE,46,18219378
1.5,2,4,TRUE,51,24183130
1,1,2,TRUE,51,33550430
1,1,1,TRUE,45,35964055
4,3,3,TRUE,47,22731849
1,1,2,TRUE,50,22841973
1,1,1,TRUE,51,32782518
2,2,2,TRUE,46,27284536
2,2,3,TRUE,45,4558766
2,2,3,TRUE,51,31003494
1,0,1,TRUE,42,24750815
1,1,2,TRUE,45,23663618
2,2,3,TRUE,43,28869077
1,0,1,TRUE,46,32067283
1,2,2,TRUE,47,31020190
1,0,1,TRUE,42,24751281
1,1,1,TRUE,43,13466574
1,1,1,TRUE,47,16039503
3,3,3,TRUE,46,31187678
2,2,3,TRUE,51,35688656
2,2,3,TRUE,51,30926148
1,1,1,TRUE,47,29652280
1,1,1,TRUE,45,23392626
1,2,3,TRUE,47,17862173
1,1,1,TRUE,45,31945758
2,2,4,TRUE,46,30396094
2,2,3,TRUE,51,30401536
1.5,2,3,TRUE,51,22674057
1,1,3,TRUE,49,27782952
1,1,1,TRUE,47,22445761
1,1,1,TRUE,47,9074220
2,2,3,TRUE,51,34938288
2.5,3,6,FALSE,46,10041407
1,1,1,TRUE,43,15420194
1,1,1,TRUE,45,31668631
2,2,3,TRUE,51,32036325
1,1,1,TRUE,46,30090854
1,1,3,TRUE,47,19995478
1,2,2,FALSE,45,17992719
2,2,3,TRUE,49,31858718
2.5,3,5,TRUE,47,29077268
2.5,3,3,TRUE,42,24596845
1,2,3,TRUE,47,24759107
1,1,2,TRUE,50,14153808
1,1,2,TRUE,46,35800677
